0,1
げすはつちでつかえ,gesuhatsuchidetsuk.ae
ざいもくやのさんようちがい,zaimokuyanosanyouchig.ai
しるをすうてもどうざい,shiruwosuutemodouz.ai
ゆうしいらい,yuushiir.ai
ぶしはあいみたがい,bushihaaimitag.ai
きがしれない,kigashiren.ai
はしたない,hashitan.ai
みぎもひだりもわからない,migimohidarimowakaran.ai
とめどない,tomedon.ai
ちぎょのわざわい,chigyonowazaw.ai
いきがながい,kiganag.ai
みずしょうばい,mizushoub.ai
うでなしのふりずんばい,udenashinofurizunb.ai
けんとうちがい,kentouchig.ai
おやのことばとなすびのはなはせんにひとつのむだもない,oyanokotobatonasubinohanahasennihitotsunomudamon.ai
ぐうのねもでない,guunonemoden.ai
ためしがない,tameshigan.ai
りょうけんぶかい,ryoukenbuk.ai
これさいわい,koresaiw.ai
けぎらい,kegir.ai
ちしゅこうかい,chishukouk.ai
めがかたい,megakat.ai
ましてやいわん,mashiteyaiw.an
ねこにこばん,ekonikob.an
すすまぬかお,susumanuk.ao
たんをうばう,tanwoub.au
くもはりゅうにしたがいかぜはとらにしたがう,kumoharyuunishitagaikazehatoranishitag.au
むねがあう,muneg.au
めんくらう,menkur.au
はりあう,hari.au
きをうしなう,kiwoushin.au
じゅうをえてひとをうしなう,juuwoetehitowoushin.au
しゅくすいのかんよろこび,shukusuinokanyoroko.bi
あたじけなすび,atajikenasu.bi
すんのくび,sunnoku.bi
おぜんだて,ozen.date
いやけがさすいやきが,iyakegasasuiyaki.ga
おおきのもとでかさをぬげ,ookinomotodekasawonu.ge
うめたびわむぎ,umetabiwamu.gi
しゅのへそをさぐる,shunohesowosa.guru
ろくしすいしゅ,rokushisuis.hu
かくりん,kakur.in
しらはりのちょうちん,shiraharinochouch.in
しお,sh.io
むねのつき,munenotsu.ki
くものかき,umonoka.ki
かげうらのまめもはじけどき,ageuranomamemohajikedo.ki
こころをくだき,okorowokuda.ki
ななころびやおき,nanakorobiyao.ki
つんぼさじき,tsunbosaj.ki
えどっこのちゃきちゃき,edokkonochakicha.ki
すんぜんしゃくま,sunzenshaku.ma
こがねひぐるま,koganehiguru.ma
きのみきのまま,kinomikino.ma
わかいつばめ,wakaitsuba.me
いちじんのあめ,ichijinnoa.me
こおりのころも,koorinokor.mo
なかのおもい,nakan.moi
くさびをうちこむ,kusabiwouchiko.mu
むねがいたむ,negaita.mu
ことをはむ,kotowoha.mu
ごうにしずむ,gounishiz.mu
みずぬるむ,izunur.mu
あわれをとどむ,awarewotodo.mu
めりこむ,eriko.mu
しりをもちこむ,shiriwomochiko.mu
おおかみもの,kamim.no
はのねがあわぬ,hanonegaawa.nu
ばじょうでてんかをえてもばじょうでてんかはおさめられぬ,bajoudetenkawoetemobajoudetenkahaosamerare.nu
まかぬたねははえぬ,makanutanehahae.nu
しゅくすいのかんよろこび,shukusuinokanyorok.obi
おとこはじぎにあまれ,otokohajiginiama.re
じせいおくれ,jiseioku.re
かなづちのかわながれ,kanazuchinokawanaga.re
たからのもちぐされ,takaranomochigusa.re
かべにする,kabenis.ru
てのわにまわる,tenowanimawa.ru
ちからにする,chikaranis.ru
あながうまる,anagauma.ru
もってまわる,mottemawa.ru
てにのる,tenino.ru
うでがうしろへまわる,degaushirohemawa.ru
きんぱくがはげる,kinpakugahage.ru
つえもまごほどかかる,tsuemomagohodokaka.ru
みさおをやぶる,misaowoyab.ru
しりをすえる,shiriwosue.ru
かわればかわる,kawarebakawa.ru
ひっけんをあらたにする,hikkenwoaratanis.ru
ことばにかどをいる,kotobanikadowoi.ru
いれあげる,ireage.ru
つちをかじる,tsuchiwokaji.ru
こくびゃくをあきあかにする,kokubyakuwoakiakanis.ru
えがくさる,egakusa.ru
やまをあてる,yamawoate.ru
やりだまにあげる,yaridamaniage.ru
とっちめる,totchime.ru
うるほどある,hodoa.ru
みにあまる,miniama.ru
くじゅうをなめる,kujuuwoname.ru
せわになる,sewanina.ru
てをかりる,tewokari.ru
ねんがいる,nengai.ru
めえとるをあげる,meetoruwoage.ru
さつびらをきる,satsubirawoki.ru
よこがみをやぶるやる,yokogamiwoyaburuya.ru
しにうまにけられる,shiniumanikerare.ru
あっけにとられる,akkenitorare.ru
めをよろこばせる,mewoyorokobase.ru
とりさげる,torisage.ru
みさげはてる,misagehate.ru
おんにきせる,onnikise.ru
そんをかける,sonwokake.ru
うけにいる,kenii.ru
ゆのじぎはみずになる,yunojigihamizunina.ru
はらをわる,harawowa.ru
めんどうをみる,mendouwomi.ru
てをねぶる,tewoneb.ru
すずめかいちゅうにいってはまぐりとなる,suzumekaichuuniittehamaguritona.ru
ほどがある,hodogaa.ru
ふちはせとなる,fuchihasetona.ru
りにかってひにおちる,inikattehiniochi.ru
つのがはえる,tsunogahae.ru
ひじをはる,hijiwoha.ru
つらにどろをぬる,tsuranidorowon.ru
またにかける,matanikake.ru
さけののまれる,sakenonomare.ru
ちとなりにくとなる,chitonarinikutona.ru
かたをつける,katawotsuke.ru
しゅのへそをさぐる,shunohesowosag.ru
ばかになる,bakanina.ru
めがくれる,megakure.ru
あしをかさねてたちめをそばだててみる,ashiwokasanetetachimewosobadatetemi.ru
たまごをわたる,tamagowowata.ru
おんなをこしらえる,onnawokoshirae.ru
おおげさ,ooge.sa
おんばひがさおんばひからかさ,onbahigasaonbahikarak.sa
ものぐさ,monogu.sa
らいらいせせ,rairai.se
なくてななくせあってしじゅうはっくせ,nakutenanakuseatteshijuuhakku.se
ちょうぶつおっそ,choubutsu.so
こしをのばす,koshiwonoba.su
かざふきがらすかぜふきがらす,kazafukigarasukazefukigara.su
めをおとす,mewooto.su
しょうたいをなくす,houtaiwonak.su
ひかりをはなつ,hikariwohanat.su
くさびをさす,kusabiwosa.su
まがさす,magasa.su
こうをそうす,kouwoso.su
ししをむちうつ,hishiwomuchiut.su
いしょうをこらす,ishouwokora.su
こえをからす,koewokara.su
ねにもつ,nenimot.su
こうをたつ,kouwotat.su
ひふたいじゅをうごかす,hifutaijuwougoka.su
うさぎをみてたかをはなつ,agiwomitetakawohanat.su
はらをくだす,harawokuda.su
やみからうしをひきだす,yamikaraushiwohikida.su
うよきょくせつ,yokyokuset.su
そでかわす,odekawa.su
ことばのうらくぎをかえす,kotobanourakugiwokae.su
めんぼくだまをふみつぶす,menbokudamawofumitsub.su
めんぼくがたつ,menbokugatat.su
にたものふうふめおと,nitamonofuufume.to
あたらしんみょう,atarashinm.you
じゃがかをのんだよう,jagakawononda.you
ぼうがのきょう,bouganok.you
